FEATURE,SATISFACTION_WEIGHT,DISSATISFACTION_WEIGHT,QUARTERLY_PERIODS,COUNTRY,WEIGHT_PER_PERSON,RESTAURANT_NAME,CITY,BOOKING_CHANNEL,RESTAURANT_BRAND,AGE,AGE_BREAKS,GENDER,RESERVATION_TYPE,ORDER_TYPE,UNIQUE_ID
Food Quality,5669.86419,0.0,2024Q3,DE,0.0,Chipotle Berlin #100,Berlin,RestaurantWebsite,Chipotle,25,25-34,Female,Walk-In,Eat In,76
Menu Variety,0.0,7141.25464,2024Q3,UK,7141.25464,Subway London #5,London,JustEat,Subway,30,25-34,Male,Reserved,Delivery,77
Food Quality,0.0,7141.25464,2024Q3,UK,0.0,Subway London #5,London,JustEat,Subway,30,25-34,Male,Reserved,Delivery,77
Special Features or Experiences,0.0,7141.25464,2024Q3,UK,0.0,Subway London #5,London,JustEat,Subway,30,25-34,Male,Reserved,Delivery,77
Reservation System,0.0,7141.25464,2024Q3,UK,0.0,Subway London #5,London,JustEat,Subway,30,25-34,Male,Reserved,Delivery,77
Customer Service,3255.91097,0.0,2024Q2,DE,3255.91097,Chipotle Berlin #63,Berlin,UberEats,Chipotle,19,18-24,Female,Reserved,Delivery,78
Service Speed,3255.91097,0.0,2024Q2,DE,0.0,Chipotle Berlin #63,Berlin,UberEats,Chipotle,19,18-24,Female,Reserved,Delivery,78
Customer Service,6290.18326,0.0,2024Q2,DE,6290.18326,KFC Berlin #48,Berlin,RestaurantWebsite,KFC,45,35-45,Female,Reserved,Delivery,79
Service Speed,6290.18326,0.0,2024Q2,DE,0.0,KFC Berlin #48,Berlin,RestaurantWebsite,KFC,45,35-45,Female,Reserved,Delivery,79
Location & Accessibility,6290.18326,0.0,2024Q2,DE,0.0,KFC Berlin #48,Berlin,RestaurantWebsite,KFC,45,35-45,Female,Reserved,Delivery,79
Food Quality,0.0,4239.78546,2024Q2,FR,4239.78546,KFC Paris #61,Paris,UberEats,KFC,58,55-64,Male,Reserved,Delivery,80
Service Speed,7837.77708,0.0,2024Q3,FR,7837.77708,Subway Paris #97,Paris,UberEats,Subway,39,35-45,Male,Reserved,Delivery,81
Special Features or Experiences,7837.77708,0.0,2024Q3,FR,0.0,Subway Paris #97,Paris,UberEats,Subway,39,35-45,Male,Reserved,Delivery,81
Ambience,7837.77708,0.0,2024Q3,FR,0.0,Subway Paris #97,Paris,UberEats,Subway,39,35-45,Male,Reserved,Delivery,81
Food Quality,7837.77708,0.0,2024Q3,FR,0.0,Subway Paris #97,Paris,UberEats,Subway,39,35-45,Male,Reserved,Delivery,81
Location & Accessibility,7017.03061,0.0,2024Q3,DE,7017.03061,McDonald's Berlin #16,Berlin,JustEat,McDonald's,61,55-64,Female,Reserved,Delivery,82
Location & Accessibility,6999.55146,0.0,2024Q3,IT,6999.55146,McDonald's Rome #91,Rome,Deliveroo,McDonald's,57,55-64,Male,Reserved,Delivery,83
Special Features or Experiences,6999.55146,0.0,2024Q3,IT,0.0,McDonald's Rome #91,Rome,Deliveroo,McDonald's,57,55-64,Male,Reserved,Delivery,83
Location & Accessibility,0.0,3912.31353,2024Q2,US,3912.31353,Chipotle New York #94,New York,Deliveroo,Chipotle,59,55-64,Female,Reserved,Delivery,84
Reservation System,0.0,3912.31353,2024Q2,US,0.0,Chipotle New York #94,New York,Deliveroo,Chipotle,59,55-64,Female,Reserved,Delivery,84
Pricing,0.0,7247.25117,2024Q2,US,7247.25117,Chipotle New York #84,New York,Deliveroo,Chipotle,34,25-34,Male,Reserved,Delivery,85
Service Speed,0.0,7247.25117,2024Q2,US,0.0,Chipotle New York #84,New York,Deliveroo,Chipotle,34,25-34,Male,Reserved,Delivery,85
Menu Variety,0.0,7247.25117,2024Q2,US,0.0,Chipotle New York #84,New York,Deliveroo,Chipotle,34,25-34,Male,Reserved,Delivery,85
Food Quality,0.0,7247.25117,2024Q2,US,0.0,Chipotle New York #84,New York,Deliveroo,Chipotle,34,25-34,Male,Reserved,Delivery,85
Reservation System,9593.29736,0.0,2024Q2,FR,9593.29736,Subway Paris #20,Paris,RestaurantWebsite,Subway,41,35-45,Male,Reserved,Delivery,86
Hygiene & Cleanliness,9593.29736,0.0,2024Q2,FR,0.0,Subway Paris #20,Paris,RestaurantWebsite,Subway,41,35-45,Male,Reserved,Delivery,86
Pricing,4606.82655,0.0,2024Q3,IT,4606.82655,Burger King Rome #28,Rome,JustEat,Burger King,29,25-34,Female,Reserved,Delivery,87
Hygiene & Cleanliness,2512.49784,0.0,2024Q3,UK,2512.49784,KFC London #97,London,OpenTable,KFC,66,65+,Male,Reserved,Eat In,88
Reservation System,2512.49784,0.0,2024Q3,UK,0.0,KFC London #97,London,OpenTable,KFC,66,65+,Male,Reserved,Eat In,88
Service Speed,7083.69442,0.0,2024Q2,UK,7083.69442,Chipotle London #27,London,JustEat,Chipotle,89,65+,Female,Reserved,Delivery,89
Reservation System,7083.69442,0.0,2024Q2,UK,0.0,Chipotle London #27,London,JustEat,Chipotle,89,65+,Female,Reserved,Delivery,89
Hygiene & Cleanliness,7083.69442,0.0,2024Q2,UK,0.0,Chipotle London #27,London,JustEat,Chipotle,89,65+,Female,Reserved,Delivery,89
Ambience,7083.69442,0.0,2024Q2,UK,0.0,Chipotle London #27,London,JustEat,Chipotle,89,65+,Female,Reserved,Delivery,89
Location & Accessibility,4184.80396,0.0,2024Q3,DE,4184.80396,Burger King Berlin #6,Berlin,UberEats,Burger King,89,65+,Male,Reserved,Delivery,90
Food Quality,4184.80396,0.0,2024Q3,DE,0.0,Burger King Berlin #6,Berlin,UberEats,Burger King,89,65+,Male,Reserved,Delivery,90
Reservation System,4184.80396,0.0,2024Q3,DE,0.0,Burger King Berlin #6,Berlin,UberEats,Burger King,89,65+,Male,Reserved,Delivery,90
Special Features or Experiences,4184.80396,0.0,2024Q3,DE,0.0,Burger King Berlin #6,Berlin,UberEats,Burger King,89,65+,Male,Reserved,Delivery,90
Service Speed,4499.62628,0.0,2024Q2,UK,4499.62628,KFC London #62,London,Deliveroo,KFC,27,25-34,Male,Reserved,Delivery,91
Food Quality,4408.30269,0.0,2024Q3,IT,4408.30269,Subway Rome #46,Rome,OpenTable,Subway,34,25-34,Male,Reserved,Eat In,92
Service Speed,4408.30269,0.0,2024Q3,IT,0.0,Subway Rome #46,Rome,OpenTable,Subway,34,25-34,Male,Reserved,Eat In,92
Reservation System,5280.3148,0.0,2024Q3,UK,5280.3148,KFC London #60,London,OpenTable,KFC,63,55-64,Female,Reserved,Eat In,93
Menu Variety,5280.3148,0.0,2024Q3,UK,0.0,KFC London #60,London,OpenTable,KFC,63,55-64,Female,Reserved,Eat In,93
Hygiene & Cleanliness,0.0,2733.87354,2024Q3,US,2733.87354,McDonald's New York #30,New York,JustEat,McDonald's,19,18-24,Female,Reserved,Delivery,94
Ambience,0.0,2733.87354,2024Q3,US,0.0,McDonald's New York #30,New York,JustEat,McDonald's,19,18-24,Female,Reserved,Delivery,94
Customer Service,0.0,2733.87354,2024Q3,US,0.0,McDonald's New York #30,New York,JustEat,McDonald's,19,18-24,Female,Reserved,Delivery,94
Special Features or Experiences,0.0,2733.87354,2024Q3,US,0.0,McDonald's New York #30,New York,JustEat,McDonald's,19,18-24,Female,Reserved,Delivery,94
Food Quality,5257.22644,0.0,2024Q3,US,5257.22644,McDonald's New York #83,New York,JustEat,McDonald's,21,18-24,Male,Reserved,Delivery,95
Reservation System,5257.22644,0.0,2024Q3,US,0.0,McDonald's New York #83,New York,JustEat,McDonald's,21,18-24,Male,Reserved,Delivery,95
Location & Accessibility,5257.22644,0.0,2024Q3,US,0.0,McDonald's New York #83,New York,JustEat,McDonald's,21,18-24,Male,Reserved,Delivery,95
Location & Accessibility,2954.01164,0.0,2024Q3,ES,2954.01164,Subway Madrid #19,Madrid,RestaurantWebsite,Subway,24,18-24,Female,Reserved,Delivery,96
Food Quality,2954.01164,0.0,2024Q3,ES,0.0,Subway Madrid #19,Madrid,RestaurantWebsite,Subway,24,18-24,Female,Reserved,Delivery,96
Special Features or Experiences,2954.01164,0.0,2024Q3,ES,0.0,Subway Madrid #19,Madrid,RestaurantWebsite,Subway,24,18-24,Female,Reserved,Delivery,96
Menu Variety,0.0,2478.90497,2024Q2,US,2478.90497,Subway New York #68,New York,Deliveroo,Subway,80,65+,Male,Reserved,Delivery,97
Reservation System,0.0,2478.90497,2024Q2,US,0.0,Subway New York #68,New York,Deliveroo,Subway,80,65+,Male,Reserved,Delivery,97
Special Features or Experiences,0.0,1348.09866,2024Q2,ES,1348.09866,KFC Madrid #36,Madrid,RestaurantWebsite,KFC,36,35-45,Female,Walk-In,Takeout,98
Special Features or Experiences,0.0,1457.25127,2024Q3,US,1457.25127,McDonald's New York #92,New York,UberEats,McDonald's,25,25-34,Male,Reserved,Delivery,99
Location & Accessibility,0.0,1457.25127,2024Q3,US,0.0,McDonald's New York #92,New York,UberEats,McDonald's,25,25-34,Male,Reserved,Delivery,99
Menu Variety,0.0,1457.25127,2024Q3,US,0.0,McDonald's New York #92,New York,UberEats,McDonald's,25,25-34,Male,Reserved,Delivery,99
Special Features or Experiences,3595.55886,0.0,2024Q2,ES,3595.55886,Burger King Madrid #27,Madrid,RestaurantWebsite,Burger King,87,65+,Female,Walk-In,Takeout,100
Location & Accessibility,3595.55886,0.0,2024Q2,ES,0.0,Burger King Madrid #27,Madrid,RestaurantWebsite,Burger King,87,65+,Female,Walk-In,Takeout,100
Ambience,3595.55886,0.0,2024Q2,ES,0.0,Burger King Madrid #27,Madrid,RestaurantWebsite,Burger King,87,65+,Female,Walk-In,Takeout,100
Customer Service,3595.55886,0.0,2024Q2,ES,0.0,Burger King Madrid #27,Madrid,RestaurantWebsite,Burger King,87,65+,Female,Walk-In,Takeout,100
Pricing,6498.8141,0.0,2024Q3,US,6498.8141,KFC New York #52,New York,Deliveroo,KFC,29,25-34,Male,Reserved,Delivery,101
Menu Variety,1421.33373,0.0,2024Q2,DE,1421.33373,Burger King Berlin #95,Berlin,RestaurantWebsite,Burger King,87,65+,Male,Walk-In,Takeout,102
Customer Service,1421.33373,0.0,2024Q2,DE,0.0,Burger King Berlin #95,Berlin,RestaurantWebsite,Burger King,87,65+,Male,Walk-In,Takeout,102
Reservation System,0.0,1582.07682,2024Q3,FR,1582.07682,Chipotle Paris #74,Paris,JustEat,Chipotle,57,55-64,Male,Reserved,Delivery,103
Customer Service,0.0,1582.07682,2024Q3,FR,0.0,Chipotle Paris #74,Paris,JustEat,Chipotle,57,55-64,Male,Reserved,Delivery,103
Hygiene & Cleanliness,8132.54668,0.0,2024Q2,FR,8132.54668,Burger King Paris #3,Paris,JustEat,Burger King,20,18-24,Male,Reserved,Delivery,104
Food Quality,8132.54668,0.0,2024Q2,FR,0.0,Burger King Paris #3,Paris,JustEat,Burger King,20,18-24,Male,Reserved,Delivery,104
Customer Service,0.0,6422.92912,2024Q2,UK,6422.92912,McDonald's London #85,London,OpenTable,McDonald's,60,55-64,Male,Reserved,Eat In,105
Hygiene & Cleanliness,0.0,6422.92912,2024Q2,UK,0.0,McDonald's London #85,London,OpenTable,McDonald's,60,55-64,Male,Reserved,Eat In,105
Pricing,0.0,6422.92912,2024Q2,UK,0.0,McDonald's London #85,London,OpenTable,McDonald's,60,55-64,Male,Reserved,Eat In,105
Reservation System,0.0,6422.92912,2024Q2,UK,0.0,McDonald's London #85,London,OpenTable,McDonald's,60,55-64,Male,Reserved,Eat In,105
Pricing,8403.48081,0.0,2024Q3,IT,8403.48081,McDonald's Rome #79,Rome,Deliveroo,McDonald's,57,55-64,Female,Reserved,Delivery,106
Hygiene & Cleanliness,8403.48081,0.0,2024Q3,IT,0.0,McDonald's Rome #79,Rome,Deliveroo,McDonald's,57,55-64,Female,Reserved,Delivery,106
Hygiene & Cleanliness,0.0,6713.26825,2024Q3,UK,6713.26825,McDonald's London #34,London,RestaurantWebsite,McDonald's,39,35-45,Male,Walk-In,Eat In,107
Ambience,2036.16278,0.0,2024Q2,UK,2036.16278,Subway London #68,London,OpenTable,Subway,84,65+,Male,Reserved,Eat In,108
Location & Accessibility,2036.16278,0.0,2024Q2,UK,0.0,Subway London #68,London,OpenTable,Subway,84,65+,Male,Reserved,Eat In,108
Food Quality,2036.16278,0.0,2024Q2,UK,0.0,Subway London #68,London,OpenTable,Subway,84,65+,Male,Reserved,Eat In,108
Pricing,2036.16278,0.0,2024Q2,UK,0.0,Subway London #68,London,OpenTable,Subway,84,65+,Male,Reserved,Eat In,108
Menu Variety,0.0,5396.62441,2024Q2,IT,5396.62441,Burger King Rome #38,Rome,RestaurantWebsite,Burger King,87,65+,Male,Reserved,Eat In,109
Pricing,3151.94627,0.0,2024Q3,US,3151.94627,McDonald's New York #6,New York,UberEats,McDonald's,56,55-64,Female,Reserved,Delivery,110
Reservation System,3624.36494,0.0,2024Q2,IT,3624.36494,KFC Rome #14,Rome,RestaurantWebsite,KFC,37,35-45,Male,Walk-In,Takeout,111
Hygiene & Cleanliness,3982.38959,0.0,2024Q3,ES,3982.38959,KFC Madrid #28,Madrid,RestaurantWebsite,KFC,33,25-34,Male,Walk-In,Takeout,112
Ambience,3982.38959,0.0,2024Q3,ES,0.0,KFC Madrid #28,Madrid,RestaurantWebsite,KFC,33,25-34,Male,Walk-In,Takeout,112
Food Quality,5535.62253,0.0,2024Q3,FR,5535.62253,KFC Paris #38,Paris,OpenTable,KFC,86,65+,Female,Reserved,Eat In,113
Reservation System,5535.62253,0.0,2024Q3,FR,0.0,KFC Paris #38,Paris,OpenTable,KFC,86,65+,Female,Reserved,Eat In,113
Hygiene & Cleanliness,5535.62253,0.0,2024Q3,FR,0.0,KFC Paris #38,Paris,OpenTable,KFC,86,65+,Female,Reserved,Eat In,113
Service Speed,5535.62253,0.0,2024Q3,FR,0.0,KFC Paris #38,Paris,OpenTable,KFC,86,65+,Female,Reserved,Eat In,113
Reservation System,8279.00063,0.0,2024Q2,FR,8279.00063,Burger King Paris #9,Paris,Deliveroo,Burger King,23,18-24,Male,Reserved,Delivery,114
Customer Service,8279.00063,0.0,2024Q2,FR,0.0,Burger King Paris #9,Paris,Deliveroo,Burger King,23,18-24,Male,Reserved,Delivery,114
Pricing,8279.00063,0.0,2024Q2,FR,0.0,Burger King Paris #9,Paris,Deliveroo,Burger King,23,18-24,Male,Reserved,Delivery,114
Ambience,8279.00063,0.0,2024Q2,FR,0.0,Burger King Paris #9,Paris,Deliveroo,Burger King,23,18-24,Male,Reserved,Delivery,114
Pricing,4644.09141,0.0,2024Q2,UK,4644.09141,Burger King London #86,London,RestaurantWebsite,Burger King,29,25-34,Male,Walk-In,Eat In,115
Ambience,4644.09141,0.0,2024Q2,UK,0.0,Burger King London #86,London,RestaurantWebsite,Burger King,29,25-34,Male,Walk-In,Eat In,115
Special Features or Experiences,4644.09141,0.0,2024Q2,UK,0.0,Burger King London #86,London,RestaurantWebsite,Burger King,29,25-34,Male,Walk-In,Eat In,115
Menu Variety,4644.09141,0.0,2024Q2,UK,0.0,Burger King London #86,London,RestaurantWebsite,Burger King,29,25-34,Male,Walk-In,Eat In,115
Food Quality,4975.51703,0.0,2024Q3,US,4975.51703,Chipotle New York #19,New York,OpenTable,Chipotle,18,18-24,Male,Reserved,Eat In,116
Menu Variety,4975.51703,0.0,2024Q3,US,0.0,Chipotle New York #19,New York,OpenTable,Chipotle,18,18-24,Male,Reserved,Eat In,116
Pricing,4975.51703,0.0,2024Q3,US,0.0,Chipotle New York #19,New York,OpenTable,Chipotle,18,18-24,Male,Reserved,Eat In,116
Food Quality,0.0,3746.56402,2024Q2,US,3746.56402,Subway New York #92,New York,UberEats,Subway,56,55-64,Male,Reserved,Delivery,117
Menu Variety,1385.04248,0.0,2024Q2,IT,1385.04248,KFC Rome #61,Rome,JustEat,KFC,31,25-34,Male,Reserved,Delivery,118
Pricing,1385.04248,0.0,2024Q2,IT,0.0,KFC Rome #61,Rome,JustEat,KFC,31,25-34,Male,Reserved,Delivery,118
Location & Accessibility,1385.04248,0.0,2024Q2,IT,0.0,KFC Rome #61,Rome,JustEat,KFC,31,25-34,Male,Reserved,Delivery,118
Menu Variety,3206.97066,0.0,2024Q3,DE,3206.97066,Subway Berlin #24,Berlin,RestaurantWebsite,Subway,41,35-45,Male,Reserved,Delivery,119
Special Features or Experiences,3206.97066,0.0,2024Q3,DE,0.0,Subway Berlin #24,Berlin,RestaurantWebsite,Subway,41,35-45,Male,Reserved,Delivery,119
Customer Service,3206.97066,0.0,2024Q3,DE,0.0,Subway Berlin #24,Berlin,RestaurantWebsite,Subway,41,35-45,Male,Reserved,Delivery,119
Reservation System,3206.97066,0.0,2024Q3,DE,0.0,Subway Berlin #24,Berlin,RestaurantWebsite,Subway,41,35-45,Male,Reserved,Delivery,119
Service Speed,0.0,4184.99096,2024Q3,FR,4184.99096,KFC Paris #57,Paris,Deliveroo,KFC,22,18-24,Female,Reserved,Delivery,120
Pricing,0.0,4184.99096,2024Q3,FR,0.0,KFC Paris #57,Paris,Deliveroo,KFC,22,18-24,Female,Reserved,Delivery,120
Location & Accessibility,0.0,4184.99096,2024Q3,FR,0.0,KFC Paris #57,Paris,Deliveroo,KFC,22,18-24,Female,Reserved,Delivery,120
Service Speed,0.0,2689.29611,2024Q3,UK,2689.29611,KFC London #66,London,UberEats,KFC,35,35-45,Female,Reserved,Delivery,121
Location & Accessibility,0.0,2689.29611,2024Q3,UK,0.0,KFC London #66,London,UberEats,KFC,35,35-45,Female,Reserved,Delivery,121
Food Quality,0.0,5166.30549,2024Q3,DE,5166.30549,Subway Berlin #71,Berlin,OpenTable,Subway,18,18-24,Male,Reserved,Eat In,122
Service Speed,6705.8543,0.0,2024Q2,UK,6705.8543,Burger King London #33,London,Deliveroo,Burger King,66,65+,Female,Reserved,Delivery,123
Service Speed,7450.86212,0.0,2024Q2,FR,7450.86212,Burger King Paris #44,Paris,JustEat,Burger King,22,18-24,Male,Reserved,Delivery,124
Customer Service,7450.86212,0.0,2024Q2,FR,0.0,Burger King Paris #44,Paris,JustEat,Burger King,22,18-24,Male,Reserved,Delivery,124
Location & Accessibility,7450.86212,0.0,2024Q2,FR,0.0,Burger King Paris #44,Paris,JustEat,Burger King,22,18-24,Male,Reserved,Delivery,124
Reservation System,7450.86212,0.0,2024Q2,FR,0.0,Burger King Paris #44,Paris,JustEat,Burger King,22,18-24,Male,Reserved,Delivery,124
Service Speed,4988.91509,0.0,2024Q2,US,4988.91509,Chipotle New York #93,New York,RestaurantWebsite,Chipotle,62,55-64,Female,Walk-In,Takeout,125
Location & Accessibility,3871.70413,0.0,2024Q3,US,3871.70413,Burger King New York #21,New York,Deliveroo,Burger King,23,18-24,Male,Reserved,Delivery,126
Food Quality,3871.70413,0.0,2024Q3,US,0.0,Burger King New York #21,New York,Deliveroo,Burger King,23,18-24,Male,Reserved,Delivery,126
Pricing,3871.70413,0.0,2024Q3,US,0.0,Burger King New York #21,New York,Deliveroo,Burger King,23,18-24,Male,Reserved,Delivery,126
Customer Service,0.0,1537.36458,2024Q2,IT,1537.36458,KFC Rome #18,Rome,JustEat,KFC,83,65+,Male,Reserved,Delivery,127
Customer Service,4612.73624,0.0,2024Q3,ES,4612.73624,McDonald's Madrid #81,Madrid,RestaurantWebsite,McDonald's,45,35-45,Male,Reserved,Delivery,128
Food Quality,4612.73624,0.0,2024Q3,ES,0.0,McDonald's Madrid #81,Madrid,RestaurantWebsite,McDonald's,45,35-45,Male,Reserved,Delivery,128
Location & Accessibility,2187.8381,0.0,2024Q3,UK,2187.8381,McDonald's London #94,London,OpenTable,McDonald's,61,55-64,Female,Reserved,Eat In,129
Service Speed,2213.77019,0.0,2024Q3,FR,2213.77019,KFC Paris #49,Paris,UberEats,KFC,28,25-34,Female,Reserved,Delivery,130
Food Quality,2213.77019,0.0,2024Q3,FR,0.0,KFC Paris #49,Paris,UberEats,KFC,28,25-34,Female,Reserved,Delivery,130
Special Features or Experiences,2213.77019,0.0,2024Q3,FR,0.0,KFC Paris #49,Paris,UberEats,KFC,28,25-34,Female,Reserved,Delivery,130
Location & Accessibility,2213.77019,0.0,2024Q3,FR,0.0,KFC Paris #49,Paris,UberEats,KFC,28,25-34,Female,Reserved,Delivery,130
Special Features or Experiences,3005.86968,0.0,2024Q2,FR,3005.86968,Burger King Paris #89,Paris,RestaurantWebsite,Burger King,27,25-34,Male,Reserved,Delivery,131
Location & Accessibility,3005.86968,0.0,2024Q2,FR,0.0,Burger King Paris #89,Paris,RestaurantWebsite,Burger King,27,25-34,Male,Reserved,Delivery,131
Hygiene & Cleanliness,3005.86968,0.0,2024Q2,FR,0.0,Burger King Paris #89,Paris,RestaurantWebsite,Burger King,27,25-34,Male,Reserved,Delivery,131
Pricing,3005.86968,0.0,2024Q2,FR,0.0,Burger King Paris #89,Paris,RestaurantWebsite,Burger King,27,25-34,Male,Reserved,Delivery,131
Location & Accessibility,4626.25488,0.0,2024Q2,FR,4626.25488,McDonald's Paris #63,Paris,UberEats,McDonald's,42,35-45,Female,Reserved,Delivery,132
Menu Variety,4626.25488,0.0,2024Q2,FR,0.0,McDonald's Paris #63,Paris,UberEats,McDonald's,42,35-45,Female,Reserved,Delivery,132
Special Features or Experiences,4626.25488,0.0,2024Q2,FR,0.0,McDonald's Paris #63,Paris,UberEats,McDonald's,42,35-45,Female,Reserved,Delivery,132
Service Speed,4626.25488,0.0,2024Q2,FR,0.0,McDonald's Paris #63,Paris,UberEats,McDonald's,42,35-45,Female,Reserved,Delivery,132
Food Quality,7087.92216,0.0,2024Q3,ES,7087.92216,McDonald's Madrid #85,Madrid,UberEats,McDonald's,36,35-45,Female,Reserved,Delivery,133
Special Features or Experiences,7087.92216,0.0,2024Q3,ES,0.0,McDonald's Madrid #85,Madrid,UberEats,McDonald's,36,35-45,Female,Reserved,Delivery,133
Hygiene & Cleanliness,7087.92216,0.0,2024Q3,ES,0.0,McDonald's Madrid #85,Madrid,UberEats,McDonald's,36,35-45,Female,Reserved,Delivery,133
Menu Variety,7087.92216,0.0,2024Q3,ES,0.0,McDonald's Madrid #85,Madrid,UberEats,McDonald's,36,35-45,Female,Reserved,Delivery,133
Pricing,0.0,4864.51802,2024Q3,UK,4864.51802,Subway London #9,London,UberEats,Subway,63,55-64,Male,Reserved,Delivery,134
Hygiene & Cleanliness,0.0,4864.51802,2024Q3,UK,0.0,Subway London #9,London,UberEats,Subway,63,55-64,Male,Reserved,Delivery,134
Reservation System,0.0,4864.51802,2024Q3,UK,0.0,Subway London #9,London,UberEats,Subway,63,55-64,Male,Reserved,Delivery,134
Customer Service,0.0,2426.72611,2024Q3,FR,2426.72611,KFC Paris #1,Paris,RestaurantWebsite,KFC,31,25-34,Male,Walk-In,Eat In,135
Pricing,2754.51876,0.0,2024Q2,DE,2754.51876,Subway Berlin #72,Berlin,RestaurantWebsite,Subway,75,65+,Male,Reserved,Delivery,136
Customer Service,2754.51876,0.0,2024Q2,DE,0.0,Subway Berlin #72,Berlin,RestaurantWebsite,Subway,75,65+,Male,Reserved,Delivery,136
Food Quality,2754.51876,0.0,2024Q2,DE,0.0,Subway Berlin #72,Berlin,RestaurantWebsite,Subway,75,65+,Male,Reserved,Delivery,136
Special Features or Experiences,1466.51621,0.0,2024Q3,IT,1466.51621,Burger King Rome #23,Rome,OpenTable,Burger King,31,25-34,Male,Reserved,Eat In,137
Menu Variety,1466.51621,0.0,2024Q3,IT,0.0,Burger King Rome #23,Rome,OpenTable,Burger King,31,25-34,Male,Reserved,Eat In,137
Location & Accessibility,1466.51621,0.0,2024Q3,IT,0.0,Burger King Rome #23,Rome,OpenTable,Burger King,31,25-34,Male,Reserved,Eat In,137
Hygiene & Cleanliness,1063.27176,0.0,2024Q2,ES,1063.27176,Subway Madrid #34,Madrid,JustEat,Subway,23,18-24,Female,Reserved,Delivery,138
Ambience,0.0,1765.74889,2024Q2,IT,1765.74889,Chipotle Rome #99,Rome,Deliveroo,Chipotle,26,25-34,Female,Reserved,Delivery,139
Service Speed,0.0,1765.74889,2024Q2,IT,0.0,Chipotle Rome #99,Rome,Deliveroo,Chipotle,26,25-34,Female,Reserved,Delivery,139
Reservation System,0.0,1765.74889,2024Q2,IT,0.0,Chipotle Rome #99,Rome,Deliveroo,Chipotle,26,25-34,Female,Reserved,Delivery,139
Hygiene & Cleanliness,0.0,1765.74889,2024Q2,IT,0.0,Chipotle Rome #99,Rome,Deliveroo,Chipotle,26,25-34,Female,Reserved,Delivery,139
Special Features or Experiences,0.0,1917.13182,2024Q3,UK,1917.13182,KFC London #82,London,RestaurantWebsite,KFC,66,65+,Male,Reserved,Delivery,140
Ambience,5830.42443,0.0,2024Q2,US,5830.42443,Subway New York #86,New York,Deliveroo,Subway,18,18-24,Male,Reserved,Delivery,141
Location & Accessibility,5830.42443,0.0,2024Q2,US,0.0,Subway New York #86,New York,Deliveroo,Subway,18,18-24,Male,Reserved,Delivery,141
Ambience,1558.29317,0.0,2024Q3,DE,1558.29317,Subway Berlin #46,Berlin,Deliveroo,Subway,45,35-45,Male,Reserved,Delivery,142
Food Quality,1558.29317,0.0,2024Q3,DE,0.0,Subway Berlin #46,Berlin,Deliveroo,Subway,45,35-45,Male,Reserved,Delivery,142
Food Quality,4714.88747,0.0,2024Q3,ES,4714.88747,Subway Madrid #84,Madrid,JustEat,Subway,20,18-24,Female,Reserved,Delivery,143
Customer Service,4714.88747,0.0,2024Q3,ES,0.0,Subway Madrid #84,Madrid,JustEat,Subway,20,18-24,Female,Reserved,Delivery,143
Location & Accessibility,4714.88747,0.0,2024Q3,ES,0.0,Subway Madrid #84,Madrid,JustEat,Subway,20,18-24,Female,Reserved,Delivery,143
Ambience,4714.88747,0.0,2024Q3,ES,0.0,Subway Madrid #84,Madrid,JustEat,Subway,20,18-24,Female,Reserved,Delivery,143
Customer Service,0.0,7688.87105,2024Q2,ES,7688.87105,McDonald's Madrid #44,Madrid,UberEats,McDonald's,40,35-45,Female,Reserved,Delivery,144
Reservation System,0.0,7688.87105,2024Q2,ES,0.0,McDonald's Madrid #44,Madrid,UberEats,McDonald's,40,35-45,Female,Reserved,Delivery,144
Location & Accessibility,0.0,7688.87105,2024Q2,ES,0.0,McDonald's Madrid #44,Madrid,UberEats,McDonald's,40,35-45,Female,Reserved,Delivery,144
Menu Variety,8635.6209,0.0,2024Q3,UK,8635.6209,KFC London #88,London,RestaurantWebsite,KFC,87,65+,Female,Walk-In,Takeout,145
Reservation System,8635.6209,0.0,2024Q3,UK,0.0,KFC London #88,London,RestaurantWebsite,KFC,87,65+,Female,Walk-In,Takeout,145
Hygiene & Cleanliness,8635.6209,0.0,2024Q3,UK,0.0,KFC London #88,London,RestaurantWebsite,KFC,87,65+,Female,Walk-In,Takeout,145
Menu Variety,8494.89956,0.0,2024Q2,FR,8494.89956,Chipotle Paris #89,Paris,JustEat,Chipotle,26,25-34,Female,Reserved,Delivery,146
Ambience,8494.89956,0.0,2024Q2,FR,0.0,Chipotle Paris #89,Paris,JustEat,Chipotle,26,25-34,Female,Reserved,Delivery,146
Hygiene & Cleanliness,0.0,3477.26442,2024Q2,ES,3477.26442,Subway Madrid #60,Madrid,OpenTable,Subway,27,25-34,Female,Reserved,Eat In,147
Food Quality,0.0,3477.26442,2024Q2,ES,0.0,Subway Madrid #60,Madrid,OpenTable,Subway,27,25-34,Female,Reserved,Eat In,147
Special Features or Experiences,0.0,3477.26442,2024Q2,ES,0.0,Subway Madrid #60,Madrid,OpenTable,Subway,27,25-34,Female,Reserved,Eat In,147
Service Speed,0.0,3477.26442,2024Q2,ES,0.0,Subway Madrid #60,Madrid,OpenTable,Subway,27,25-34,Female,Reserved,Eat In,147
